P7,"[(24, 449), (24, 439), (24, 432), (24, 432), (24, 437), (24, 440), (24, 443), (24, 440), (24, 443), (24, 442), (24, 437), (24, 439), (24, 441), (24, 443), (24, 444), (24, 442), (24, 446), (24, 446), (24, 439), (24, 443), (24, 438), (24, 442), (24, 443), (24, 444), (24, 445), (24, 442), (24, 441), (24, 437), (24, 440), (24, 438), (24, 445), (24, 444), (24, 446), (24, 445), (24, 445), (24, 445), (24, 443), (24, 443), (24, 442), (24, 446), (24, 446), (24, 442), (24, 444), (24, 445), (24, 444), (24, 442), (24, 443), (24, 445), (24, 442), (24, 438), (24, 442), (24, 443), (24, 443), (24, 440), (24, 447), (24, 443), (24, 440), (24, 444), (24, 440), (24, 446), (24, 443), (24, 444), (24, 445), (24, 437), (24, 445), (24, 442), (24, 439), (24, 448), (24, 443), (24, 443), (24, 439), (24, 448), (24, 440), (24, 440), (24, 443), (24, 444), (24, 443), (24, 444), (24, 443), (24, 446), (24, 437), (24, 446), (24, 435), (24, 444), (24, 445), (24, 437), (24, 440), (24, 445), (24, 445), (24, 452), (24, 444), (24, 445), (24, 441), (24, 445), (24, 436), (24, 438), (24, 442), (24, 443), (24, 440), (24, 445), (24, 446), (24, 444), (24, 445), (24, 447), (24, 443), (24, 445), (24, 436), (24, 448), (24, 439), (24, 445), (24, 441), (24, 445), (24, 442), (24, 445), (24, 441), (24, 445), (24, 441), (24, 447), (24, 440), (24, 448), (24, 441), (24, 440), (24, 446), (24, 446), (24, 443), (24, 446), (24, 439), (24, 442)]"
FC6,"[(16, -341), (16, -339), (16, -337), (16, -337), (16, -345), (16, -339), (16, -343), (16, -339), (16, -342), (16, -342), (16, -344), (16, -343), (16, -346), (16, -348), (16, -348), (16, -346), (16, -350), (16, -350), (16, -340), (16, -351), (16, -346), (16, -343), (16, -349), (16, -350), (16, -354), (16, -357), (16, -355), (16, -354), (16, -351), (16, -347), (16, -351), (16, -360), (16, -359), (16, -356), (16, -347), (16, -356), (16, -360), (16, -359), (16, -360), (16, -351), (24, -356), (24, -359), (24, -356), (24, -356), (24, -356), (24, -357), (24, -359), (24, -361), (24, -358), (24, -358), (24, -361), (24, -360), (24, -355), (24, -362), (24, -357), (24, -361), (24, -366), (24, -355), (24, -367), (24, -364), (24, -366), (24, -360), (24, -361), (24, -360), (24, -368), (24, -368), (24, -358), (24, -367), (24, -369), (24, -369), (24, -372), (24, -367), (24, -367), (24, -364), (16, -366), (16, -365), (16, -373), (16, -370), (16, -370), (16, -367), (16, -370), (16, -367), (16, -372), (16, -373), (16, -370), (16, -371), (16, -375), (16, -372), (16, -367), (16, -371), (16, -377), (16, -373), (16, -372), (16, -373), (16, -367), (16, -373), (16, -379), (16, -371), (16, -373), (16, -378), (16, -372), (16, -371), (16, -370), (16, -373), (24, -372), (24, -372), (16, -379), (16, -375), (16, -375), (16, -371), (16, -374), (16, -372), (16, -379), (16, -373), (16, -374), (16, -368), (16, -378), (16, -373), (16, -375), (16, -377), (16, -374), (16, -380), (16, -379), (16, -379), (16, -384), (16, -387), (16, -386), (16, -384)]"
T7,"[(16, 292), (16, 299), (24, 303), (24, 303), (24, 297), (24, 286), (24, 297), (24, 293), (24, 295), (24, 294), (24, 295), (24, 296), (24, 296), (24, 292), (24, 296), (24, 296), (24, 296), (24, 296), (24, 298), (24, 297), (24, 294), (24, 293), (24, 293), (24, 295), (24, 297), (24, 296), (24, 298), (24, 296), (24, 300), (24, 298), (24, 293), (24, 303), (24, 298), (24, 298), (0, 295), (0, 297), (0, 294), (0, 292), (0, 291), (0, 292), (0, 296), (0, 295), (0, 297), (0, 300), (0, 296), (0, 296), (0, 300), (0, 296), (0, 293), (0, 298), (0, 295), (0, 293), (0, 298), (0, 290), (0, 299), (0, 289), (0, 292), (0, 300), (0, 293), (0, 294), (0, 297), (0, 294), (0, 298), (0, 297), (0, 296), (0, 298), (0, 292), (0, 290), (0, 294), (0, 291), (16, 294), (16, 297), (16, 295), (16, 295), (16, 293), (16, 305), (16, 287), (16, 304), (16, 300), (16, 299), (16, 298), (16, 289), (16, 290), (16, 292), (16, 300), (16, 295), (16, 292), (16, 297), (16, 292), (16, 293), (16, 293), (16, 295), (16, 305), (16, 297), (16, 296), (16, 294), (16, 294), (16, 294), (16, 291), (16, 297), (16, 302), (0, 293), (0, 293), (0, 300), (0, 290), (0, 293), (0, 294), (0, 298), (0, 290), (0, 294), (0, 301), (0, 295), (0, 295), (0, 292), (0, 292), (0, 291), (0, 297), (0, 290), (0, 297), (0, 295), (0, 300), (0, 296), (0, 292), (0, 292), (0, 289), (0, 296), (0, 294), (0, 295)]"
P8,"[(0, -1281), (0, -1282), (0, -1276), (0, -1276), (24, -1283), (24, -1279), (24, -1282), (24, -1280), (24, -1282), (24, -1281), (24, -1282), (24, -1283), (24, -1281), (24, -1284), (24, -1282), (24, -1284), (24, -1287), (24, -1287), (24, -1284), (24, -1283), (24, -1281), (24, -1286), (24, -1277), (24, -1282), (24, -1277), (24, -1283), (24, -1282), (24, -1285), (24, -1282), (24, -1281), (24, -1281), (24, -1282), (24, -1280), (24, -1287), (24, -1276), (24, -1281), (16, -1282), (16, -1280), (16, -1281), (16, -1282), (16, -1280), (16, -1277), (16, -1275), (16, -1275), (16, -1279), (16, -1280), (16, -1278), (16, -1276), (16, -1278), (16, -1279), (16, -1275), (16, -1280), (16, -1282), (16, -1278), (16, -1279), (16, -1275), (16, -1276), (16, -1278), (16, -1277), (16, -1279), (16, -1277), (16, -1280), (16, -1281), (16, -1280), (16, -1284), (16, -1276), (16, -1277), (16, -1273), (16, -1278), (16, -1275), (16, -1277), (16, -1279), (24, -1279), (24, -1279), (24, -1280), (24, -1281), (24, -1276), (24, -1279), (24, -1274), (24, -1282), (24, -1275), (24, -1281), (24, -1279), (24, -1278), (24, -1281), (24, -1277), (24, -1281), (24, -1277), (24, -1276), (24, -1278), (24, -1277), (24, -1277), (24, -1278), (24, -1277), (24, -1273), (24, -1276), (24, -1277), (24, -1280), (24, -1280), (24, -1279), (24, -1280), (24, -1272), (24, -1280), (8, -1276), (8, -1278), (8, -1277), (8, -1275), (8, -1277), (8, -1275), (8, -1276), (8, -1276), (8, -1277), (8, -1275), (8, -1273), (8, -1276), (8, -1271), (8, -1277), (8, -1276), (8, -1273), (8, -1279), (8, -1273), (8, -1280), (8, -1271), (8, -1271), (8, -1275), (8, -1274), (8, -1277), (8, -1272)]"
Y,"[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]"
X,"[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]"
Z,"[(0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?'), (0, '?')]"
O2,"[(24, -1303), (24, -1303), (24, -1302), (24, -1302), (24, -1299), (24, -1298), (24, -1304), (24, -1304), (24, -1299), (24, -1300), (24, -1302), (24, -1301), (24, -1301), (24, -1302), (24, -1302), (24, -1302), (24, -1301), (24, -1301), (24, -1295), (24, -1307), (24, -1295), (24, -1305), (24, -1301), (24, -1300), (24, -1305), (24, -1300), (24, -1299), (24, -1303), (24, -1300), (24, -1297), (24, -1301), (24, -1302), (24, -1300), (24, -1300), (24, -1299), (24, -1299), (24, -1305), (24, -1295), (24, -1296), (24, -1301), (24, -1302), (24, -1300), (24, -1299), (24, -1300), (24, -1301), (24, -1300), (24, -1301), (24, -1302), (24, -1302), (24, -1296), (24, -1304), (24, -1300), (24, -1298), (24, -1298), (24, -1299), (24, -1297), (24, -1301), (24, -1296), (24, -1300), (24, -1299), (24, -1300), (24, -1298), (24, -1295), (24, -1299), (24, -1298), (24, -1298), (24, -1296), (24, -1295), (24, -1300), (24, -1299), (24, -1300), (24, -1300), (0, -1298), (0, -1301), (0, -1300), (0, -1296), (0, -1301), (0, -1298), (0, -1299), (0, -1296), (0, -1296), (0, -1294), (0, -1296), (0, -1298), (0, -1298), (0, -1300), (0, -1291), (0, -1299), (0, -1300), (0, -1302), (0, -1298), (0, -1297), (0, -1296), (0, -1295), (0, -1298), (0, -1296), (0, -1293), (0, -1292), (0, -1299), (0, -1296), (0, -1298), (0, -1298), (0, -1298), (8, -1298), (8, -1298), (8, -1298), (8, -1299), (8, -1297), (8, -1299), (8, -1296), (8, -1298), (8, -1294), (8, -1298), (8, -1301), (8, -1302), (8, -1299), (8, -1296), (8, -1293), (8, -1299), (8, -1295), (8, -1301), (8, -1295), (8, -1294), (8, -1294), (8, -1296), (8, -1296), (8, -1297), (8, -1297)]"
O1,"[(8, -158), (8, -141), (8, -165), (8, -165), (0, -157), (0, -159), (0, -152), (0, -156), (0, -151), (0, -154), (0, -153), (0, -150), (0, -155), (0, -157), (0, -154), (0, -152), (0, -146), (0, -146), (0, -152), (0, -151), (0, -153), (0, -149), (0, -155), (0, -149), (0, -158), (0, -156), (0, -158), (0, -150), (0, -156), (0, -150), (0, -150), (0, -153), (0, -159), (0, -152), (0, -153), (16, -149), (16, -152), (16, -158), (16, -151), (16, -154), (16, -153), (16, -153), (16, -152), (16, -151), (16, -151), (16, -152), (16, -150), (16, -155), (16, -154), (16, -154), (16, -155), (16, -150), (16, -152), (16, -154), (16, -153), (16, -151), (16, -148), (16, -154), (16, -149), (16, -154), (16, -153), (16, -153), (16, -156), (16, -149), (16, -150), (16, -151), (16, -152), (16, -154), (16, -150), (16, -149), (16, -154), (24, -149), (24, -157), (24, -153), (24, -150), (24, -153), (24, -155), (24, -151), (24, -156), (24, -151), (24, -157), (24, -150), (24, -154), (24, -148), (24, -153), (24, -152), (24, -154), (24, -153), (24, -158), (24, -154), (24, -159), (24, -148), (24, -154), (24, -153), (24, -154), (24, -157), (24, -154), (24, -154), (24, -150), (24, -150), (24, -152), (24, -156), (16, -150), (16, -152), (16, -153), (16, -153), (16, -150), (16, -155), (16, -154), (16, -152), (16, -156), (16, -150), (16, -153), (16, -151), (16, -153), (16, -154), (16, -150), (16, -155), (16, -154), (16, -153), (16, -154), (16, -150), (16, -153), (16, -153), (16, -152), (16, -152), (16, -151), (16, -151)]"
FC5,"[(16, 241), (16, 228), (16, 235), (16, 235), (16, 234), (16, 238), (16, 238), (16, 240), (16, 242), (16, 235), (16, 237), (16, 240), (16, 236), (16, 240), (16, 232), (16, 240), (16, 238), (16, 238), (16, 240), (16, 242), (16, 236), (16, 238), (16, 238), (16, 239), (16, 239), (16, 236), (16, 234), (16, 237), (16, 238), (16, 241), (16, 236), (16, 238), (8, 236), (8, 240), (8, 241), (8, 232), (8, 241), (8, 239), (8, 240), (8, 245), (8, 243), (8, 236), (8, 236), (8, 238), (8, 236), (8, 238), (8, 244), (8, 238), (8, 236), (8, 244), (8, 236), (8, 239), (8, 239), (8, 237), (8, 239), (8, 237), (8, 239), (8, 238), (8, 239), (8, 247), (8, 238), (8, 239), (8, 241), (8, 236), (8, 240), (8, 241), (8, 240), (8, 236), (16, 239), (16, 239), (16, 237), (16, 240), (16, 240), (16, 238), (16, 235), (16, 238), (16, 241), (16, 237), (16, 241), (16, 237), (16, 242), (16, 240), (16, 235), (16, 236), (16, 239), (16, 236), (16, 239), (16, 240), (16, 239), (16, 237), (16, 238), (16, 238), (16, 237), (16, 239), (16, 239), (16, 238), (16, 236), (16, 242), (16, 237), (16, 239), (0, 241), (0, 236), (0, 241), (0, 242), (0, 238), (0, 238), (0, 240), (0, 239), (0, 241), (0, 242), (0, 238), (0, 239), (0, 235), (0, 237), (0, 237), (0, 235), (0, 238), (0, 240), (0, 238), (0, 240), (0, 237), (0, 239), (0, 239), (0, 239), (0, 239), (0, 241), (0, 240), (0, 241)]"
